location,record_time,temperature,humidity,heat_index,solar,wind_speed,wind_direction,valid_at
"Concord NH",1678118400,30.922,82.0,None,23.4116,6.944000000000001,320.0,1678118400
"Concord NH",1678118460,30.958,81.95,None,23.4425,6.925340800000001,320.0,1678118460
"Concord NH",1678118520,30.994,81.89999999999999,None,23.4735,6.906659200000001,320.0,1678118520
"Concord NH",1678118580,31.03,81.85,None,23.5045,6.888000000000001,320.0,1678118580
"Concord NH",1678118640,31.066,81.8,None,23.5354,6.8693408,320.0,1678118640
"Concord NH",1678118700,31.102,81.75,None,23.5664,6.850659200000001,320.0,1678118700
"Concord NH",1678118760,31.138,81.69999999999999,None,23.5974,6.832,320.0,1678118760
"Concord NH",1678118820,31.174,81.65,None,23.6283,6.813340800000001,320.0,1678118820
"Concord NH",1678118880,31.21,81.6,None,23.6593,6.7946592,320.0,1678118880
"Concord NH",1678118940,31.246,81.55,None,23.6903,6.776000000000001,320.0,1678118940
"Concord NH",1678119000,31.282,81.5,None,23.7212,6.757340800000001,320.0,1678119000
"Concord NH",1678119060,31.318,81.45,None,23.7522,6.738659200000001,320.0,1678119060
"Concord NH",1678119120,31.354,81.39999999999999,None,23.7832,6.720000000000001,320.0,1678119120
"Concord NH",1678119180,31.39,81.35,None,23.8141,6.7013408000000005,320.0,1678119180
"Concord NH",1678119240,31.426,81.3,None,23.8451,6.682659200000001,320.0,1678119240
"Concord NH",1678119300,31.462,81.25,None,23.8761,6.664000000000001,320.0,1678119300
"Concord NH",1678119360,31.498,81.2,None,23.907,6.645340800000001,320.0,1678119360
"Concord NH",1678119420,31.534,81.15,None,23.938,6.626659200000001,320.0,1678119420
"Concord NH",1678119480,31.57,81.10000000000001,None,23.969,6.608000000000001,320.0,1678119480
"Concord NH",1678119540,31.606,81.05,None,24.0,6.5893408,320.0,1678119540
"Concord NH",1678119600,31.642,81.0,None,24.0309,6.5706592000000015,320.0,1678119600
"Concord NH",1678119660,31.678,80.95,None,24.0619,6.5520000000000005,320.0,1678119660
"Concord NH",1678119720,31.714,80.9,None,24.0929,6.5333408,320.0,1678119720
"Concord NH",1678119780,31.75,80.85,None,24.1238,6.5146592000000005,320.0,1678119780
"Concord NH",1678119840,31.786,80.80000000000001,None,24.1548,6.496,320.0,1678119840
"Concord NH",1678119900,31.822,80.75,None,24.1858,6.4773408,320.0,1678119900
"Concord NH",1678119960,31.858,80.7,None,24.2167,6.4586592000000005,320.0,1678119960
"Concord NH",1678120020,31.894,80.65,None,24.2477,6.44,320.0,1678120020
"Concord NH",1678120080,31.93,80.60000000000001,None,24.2787,6.4213408,320.0,1678120080
"Concord NH",1678120140,31.966,80.55,None,24.3096,6.4026592,320.0,1678120140
"Concord NH",1678120200,32.002,80.5,None,24.3406,6.384000000000001,320.0,1678120200
"Concord NH",1678120260,32.038,80.45,None,24.3716,6.365340800000001,320.0,1678120260
"Concord NH",1678120320,32.074,80.4,None,24.4025,6.346659200000001,320.0,1678120320
"Concord NH",1678120380,32.11,80.35,None,24.4335,6.328000000000001,320.0,1678120380
"Concord NH",1678120440,32.146,80.30000000000001,None,24.4645,6.3093408,320.0,1678120440
"Concord NH",1678120500,32.182,80.25,None,24.4954,6.290659200000001,320.0,1678120500
"Concord NH",1678120560,32.218,80.2,None,24.5264,6.272,320.0,1678120560
"Concord NH",1678120620,32.254,80.15,None,24.5574,6.2533408,320.0,1678120620
"Concord NH",1678120680,32.29,80.10000000000001,None,24.5883,6.2346592,320.0,1678120680
"Concord NH",1678120740,32.326,80.05,None,24.6193,6.216,320.0,1678120740
"Concord NH",1678120800,32.362,80.0,None,24.6503,6.1973408,320.0,1678120800
"Concord NH",1678120860,32.398,79.95,None,24.6812,6.1786592,320.0,1678120860
"Concord NH",1678120920,32.434,79.9,None,24.7122,6.16,320.0,1678120920
"Concord NH",1678120980,32.47,79.85,None,24.7432,6.141340800000001,320.0,1678120980
"Concord NH",1678121040,32.506,79.80000000000001,None,24.7741,6.122659200000001,320.0,1678121040
"Concord NH",1678121100,32.542,79.75,None,24.8051,6.104000000000001,320.0,1678121100
"Concord NH",1678121160,32.578,79.7,None,24.8361,6.085340800000001,320.0,1678121160
"Concord NH",1678121220,32.614,79.65,None,24.867,6.066659200000001,320.0,1678121220
"Concord NH",1678121280,32.65,79.60000000000001,None,24.898,6.048000000000001,320.0,1678121280
"Concord NH",1678121340,32.686,79.55,None,24.929,6.0293408,320.0,1678121340
"Concord NH",1678121400,32.722,79.5,None,24.96,6.010659200000001,320.0,1678121400
"Concord NH",1678121460,32.758,79.45,None,24.9909,5.992,320.0,1678121460
"Concord NH",1678121520,32.794,79.4,None,25.0219,5.9733408,320.0,1678121520
"Concord NH",1678121580,32.83,79.35,None,25.0529,5.9546592,320.0,1678121580
"Concord NH",1678121640,32.866,79.3,None,25.0838,5.936,320.0,1678121640
"Concord NH",1678121700,32.902,79.25,None,25.1148,5.917340800000001,320.0,1678121700
"Concord NH",1678121760,32.938,79.2,None,25.1458,5.898659200000001,320.0,1678121760
"Concord NH",1678121820,32.974,79.14999999999999,None,25.1767,5.880000000000001,320.0,1678121820
"Concord NH",1678121880,33.01,79.10000000000001,None,25.2077,5.861340800000001,320.0,1678121880
"Concord NH",1678121940,33.046,79.05,None,25.2387,5.842659200000001,320.0,1678121940
"Concord NH",1678122000,33.082,79.0,None,25.2696,5.824000000000001,320.0,1678122000
"Concord NH",1678122060,33.115,78.95,None,25.2959,5.861340800000001,319.833,1678122060
"Concord NH",1678122120,33.148,78.9,None,25.3223,5.898659200000001,319.667,1678122120
"Concord NH",1678122180,33.181,78.85,None,25.3486,5.936,319.5,1678122180
"Concord NH",1678122240,33.214,78.8,None,25.3749,5.9733408,319.333,1678122240
"Concord NH",1678122300,33.247,78.75,None,25.4012,6.010659200000001,319.167,1678122300
"Concord NH",1678122360,33.28,78.7,None,25.4276,6.048000000000001,319.0,1678122360
